SampleName,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015,S016,S017,S018,S019,S020,S021,S022,S023,S024,S025,S026,S027,S028,S029,S030,S031,S032,S033,S034,S035,S036,S037,S038,S039,S040,S041,S042,S043,S044,S045,S046,S047,S048,S049,S050,S051,S052,S053,S054,S055,S056,S057,S058,S059,S060,S061,S062,S063,S064,S065,S066,S067,S068,S069,S070,S071,S072,S073,S074,S075,S076,S077,S078,S079,S080,S081,S082,S083,S084,S085,S086,S087,S088,S089,S090,S091,S092,S093,S094,S095,S096,S097,S098,S099,S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S110,S111,S112,S113,S114,S115,S116,S117,S118,S119,S120
SampleID,61,62,1,63,2,64,3,4,5,65,66,6,67,7,68,8,9,69,10,70,71,11,12,72,13,73,74,14,75,15,76,16,17,77,18,78,19,20,21,79,80,22,81,82,23,83,24,84,85,25,86,26,27,87,28,88,29,89,90,91,30,31,92,32,33,93,34,35,94,36,37,38,95,96,97,39,98,40,99,100,41,101,102,103,104,105,42,43,44,106,45,46,107,108,47,48,109,110,49,50,51,111,52,53,112,113,114,54,115,116,55,56,117,118,57,58,59,119,60,120
Status,no,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,yes,yes,no,yes,no,yes,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,no,yes,yes,yes,no,yes,no
