"","RSD"
"X3.52_579.1527m.z",0.124735
"X3.52_617.2129m.z",0.149825
"X3.52_636.2910n",0.638146
"X3.52_646.2086m.z",0.345029
"X3.52_544.0868m.z",0.523014
"X3.50_487.1819m.z",0.15036
"X3.47_666.3176m.z",0.301885
"X3.47_671.2342m.z",0.174739
"X3.47_759.0282n",0.234695
"X3.47_815.1318m.z",0.193691
"X3.47_840.0398m.z",0.180236
"X3.47_848.1752m.z",0.208333
"X3.47_861.0992m.z",0.1725
"X3.47_960.1576m.z",0.315417
"X3.47_1012.1641m.z",0.321184
"X3.47_1025.2201m.z",0.287686
"X3.47_1048.1825m.z",0.326062
"X3.47_1049.1753m.z",0.334384
"X3.47_1050.1180m.z",0.25465
"X3.47_1053.1558m.z",0.252743
"X3.47_1062.0958n",0.224697
"X3.47_1161.2462n",0.487035
"X3.47_537.0029n",0.146691
"X3.47_548.0841m.z",0.21472
"X3.47_491.0164m.z",0.102858
"X3.47_206.0141m.z",0.084302
"X3.47_233.6192n",0.318558
"X3.47_232.9880m.z",0.127787
"X3.47_235.0324m.z",0.166558
"X3.47_229.0068n",0.0713
"X3.47_206.9770n",0.092428
"X3.47_219.2208n",0.52282
"X3.47_260.1859m.z",0.121258
"X3.47_298.1180n",0.109607
"X3.47_282.9615n",0.076445
"X3.47_291.9984n",0.080872
"X3.47_326.0289n",0.069315
"X3.47_312.0720m.z",0.139998
"X3.47_328.9938m.z",0.085861
"X3.47_391.0183m.z",0.142976
"X3.47_434.1446m.z",0.390983
"X3.47_473.2579m.z",0.349659
"X3.47_495.0054n",0.173116
"X3.49_125.0240m.z",0.172652
"X3.49_195.0691m.z",0.08373
"X3.49_207.0275m.z",0.185509
"X3.49_616.2140m.z",0.123438
"X3.49_522.1580m.z",0.498815
"X3.50_227.0727m.z",0.332487
"X3.50_255.0682m.z",0.321967
"X3.50_319.1655m.z",0.128325
"X3.50_344.1622m.z",0.178139
"X3.50_431.0992m.z",0.42131
"X3.50_232.1161m.z",0.100202
"X3.50_483.9933m.z",0.219821
"X3.49_311.1771m.z",0.53368
"X3.49_312.1356m.z",0.505604
"X3.49_354.1781m.z",0.158569
"X3.49_415.0179m.z",0.176955
"X3.49_448.1398m.z",0.14193
"X3.49_463.1547m.z",0.124135
"X3.49_468.0457m.z",0.33663
"X3.49_428.2259n",0.180264
"X4.32_296.0623m.z",0.195476
"X5.34_523.1912m.z",0.564841
"X5.34_541.1951m.z",0.477835
"X5.34_549.2560m.z",0.228254
"X5.34_585.7391m.z",1.025355
"X5.34_424.3022m.z",0.715239
"X5.34_163.1432m.z",0.523791
"X5.34_201.0523m.z",0.45839
"X5.34_244.1023m.z",0.446101
"X5.34_252.0911m.z",0.664427
"X5.34_271.2481m.z",0.129239
"X5.34_370.2385n",0.092366
"X5.34_365.1617m.z",0.474161
"X5.37_180.1897n",0.150082
"X5.37_316.2392n",0.108287
"X5.37_532.1542m.z",0.496223
"X5.37_532.2662n",0.12383
"X5.37_685.1868m.z",0.349777
"X5.39_154.0290m.z",0.783112
"X5.39_233.0376m.z",0.859198
"X5.39_235.0347m.z",0.47358
"X5.35_120.0267m.z",0.16507
"X5.35_233.1221m.z",0.114954
"X5.35_234.1263m.z",0.40146
"X5.35_380.1185m.z",0.117831
"X5.35_432.1590m.z",0.922028
"X5.35_548.1950m.z",0.188555
"X5.35_678.1935m.z",0.323513
"X5.30_217.1195m.z",0.074701
"X5.30_226.1228m.z",0.53584
"X5.30_288.9894n",0.506673
"X5.30_347.2033m.z",0.182159
"X5.30_411.1373n",0.325158
"X5.30_470.1926n",0.56226
"X5.32_140.0123n",0.463957
"X5.32_161.1329m.z",0.571868
"X5.28_952.5530m.z",0.241643
"X5.32_211.0678m.z",0.558071
"X5.32_218.0680m.z",0.563169
"X5.32_496.1798m.z",0.46327
"X5.32_528.0980n",0.610528
"X5.32_576.2285m.z",0.368244
"X5.32_584.3383m.z",0.262077
"X5.32_619.2393m.z",0.306139
"X5.32_642.2152m.z",0.546457
"X5.32_786.3118n",0.753353
"X5.39_247.6075m.z",0.765966
"X5.32_436.0854m.z",0.601454
"X5.32_259.0822m.z",0.384994
"X5.32_260.0978m.z",0.360409
"X5.32_345.1371m.z",0.239212
"X5.32_361.1389m.z",0.63637
"X5.32_384.1395m.z",0.527345
"X5.32_382.1608n",0.509804
"X5.32_402.1442m.z",0.633317
"X5.49_309.2563m.z",0.200215
"X5.49_312.0072m.z",0.646324
"X5.49_447.2988n",0.161724
"X5.49_492.2741m.z",0.1583
"X5.49_501.2104m.z",0.322954
"X5.49_545.2283n",0.510692
"X5.49_296.1664m.z",0.397097
"X5.47_640.3610m.z",0.540655
"X5.49_158.1544m.z",0.033527
"X5.49_247.6513m.z",0.163282
"X5.49_249.0682m.z",0.467063
"X5.49_255.1450m.z",0.702347
"X5.49_272.1309m.z",0.375212
"X5.49_275.6493m.z",0.287195
"X5.51_191.1412m.z",0.506597
"X5.51_199.1490m.z",0.058523
"X5.51_259.1787m.z",0.238086
"X5.51_299.1370m.z",0.240395
"X5.51_301.1554m.z",0.128158
"X5.51_308.1360m.z",0.419492
"X5.47_424.2311m.z",0.259173
"X5.47_301.0791m.z",0.24679
"X5.40_307.1035m.z",0.066387
"X5.40_300.2773n",0.191595
"X5.40_431.3037n",0.141509
"X5.42_177.1627m.z",0.325004
"X5.42_490.2746n",0.138544
"X5.42_578.3045m.z",0.410766
"X5.44_263.1409m.z",0.066328
"X5.44_279.2301m.z",0.134435
"X5.44_290.2698m.z",0.042048
"X5.44_381.2018m.z",0.049839
"X5.40_212.2148n",0.034125
"X5.40_221.1888m.z",0.283842
"X5.40_209.1877m.z",0.148485
"X5.39_324.0907n",0.087189
"X5.39_492.1559m.z",0.528218
"X5.44_430.2106n",0.107574
"X5.39_494.1006n",0.591397
"X5.39_496.0990n",0.523216
"X5.44_477.1032m.z",0.635942
"X5.44_488.1542m.z",0.712778
"X5.46_548.2069n",0.1635
"X5.46_635.2639m.z",0.356604
"X5.46_746.2260n",0.149009
"X5.46_175.1458m.z",0.112208
"X5.46_189.1637m.z",0.386791
"X5.46_212.0394m.z",0.575981
"X5.46_191.0513n",0.380328
"X5.46_227.1897n",0.120695
"X5.46_500.3774m.z",0.078243
"X5.46_285.2586m.z",0.219962
"X5.46_374.1146m.z",0.196323
"X5.28_624.2373n",0.117535
"X5.09_328.2489m.z",0.143294
"X5.09_405.2117m.z",0.188129
"X5.09_476.2262m.z",0.071201
"X5.09_495.1416m.z",0.409422
"X5.09_530.2042m.z",0.806037
"X5.09_546.1842m.z",0.317628
"X5.11_295.0643n",0.192147
"X5.11_456.3143m.z",0.181413
"X5.11_602.3494m.z",0.226286
"X5.09_61.0072m.z",0.08819
"X5.08_186.1292n",0.122573
"X5.08_243.0981m.z",0.527848
"X5.08_269.2068m.z",0.116013
"X5.08_287.2295m.z",0.25856
"X5.08_393.2148n",0.083399
"X5.11_910.4392m.z",0.371131
"X5.08_400.1278m.z",0.745093
"X5.08_401.0499n",0.462619
"X5.08_442.3377m.z",0.077225
"X5.08_437.1412n",0.562762
"X5.08_510.2688m.z",0.08372
"X5.08_1156.4293n",0.764075
"X5.08_591.3121m.z",0.13544
"X5.08_403.1389m.z",0.414903
"X5.13_175.1450m.z",0.095823
"X5.13_1024.5957n",0.236329
"X5.15_166.1356n",0.104923
"X5.15_226.1215n",0.079168
"X5.15_213.5769m.z",0.160859
"X5.15_249.1126m.z",0.454955
"X5.15_268.1326n",0.075731
"X5.13_978.4641n",0.265152
"X5.15_255.1240m.z",0.091099
"X5.15_339.0823m.z",0.283435
"X5.15_364.1994m.z",0.089641
"X5.15_450.1228n",0.134986
"X5.15_498.0861n",0.106959
"X5.15_520.2594n",0.128775
"X5.15_616.2719m.z",0.349386
"X5.15_629.3880m.z",0.168239
"X5.15_652.3442m.z",0.376799
"X5.15_262.5769m.z",0.104736
"X5.08_219.0398m.z",0.313658
"X5.13_974.4926m.z",0.378097
"X5.13_643.3734m.z",0.320318
"X5.13_254.5889m.z",0.15898
"X5.13_215.2048n",0.132814
"X5.13_276.1338m.z",0.134086
"X5.13_283.2422m.z",0.181085
"X5.13_296.6435m.z",0.140194
"X5.13_287.6466n",0.440844
"X5.13_684.2490m.z",0.305496
"X5.13_393.1603m.z",0.084968
"X5.13_462.1988m.z",0.140561
"X5.13_460.1609n",0.146619
"X5.13_512.1293m.z",0.689795
"X5.13_534.2701n",0.100319
"X5.13_582.3066m.z",0.160373
"X5.13_586.3545m.z",0.122092
"X5.13_608.2866m.z",0.16336
"X5.13_431.1400m.z",0.15936
"X5.08_217.0425m.z",0.398268
"X5.08_172.1680m.z",0.162473
"X5.00_439.0770n",0.478125
"X5.00_527.2201m.z",0.148754
"X5.00_528.2240m.z",0.361383
"X5.00_491.1596n",0.129865
"X5.00_544.2169n",0.207469
"X5.00_619.2327m.z",0.342573
"X5.00_629.1519m.z",0.203834
"X5.01_213.1507m.z",0.118224
"X5.01_249.1168m.z",0.300826
"X5.01_315.1431m.z",0.096249
"X5.00_934.2298n",0.711676
"X5.00_448.2329m.z",0.091807
"X5.01_324.0910n",0.076077
"X5.00_137.1319m.z",0.235579
"X5.00_162.1403n",0.183445
"X5.00_225.9720m.z",0.257881
"X5.00_237.1499m.z",0.07942
"X5.00_281.2237m.z",0.150334
"X5.00_310.1789m.z",0.158054
"X5.01_394.1427m.z",0.159457
"X5.06_271.1985m.z",0.113436
"X5.06_367.2984m.z",0.310293
"X5.06_402.3135n",0.195486
"X5.06_442.1126m.z",0.200686
"X5.06_482.2739m.z",0.1185
"X5.06_584.3391m.z",0.174267
"X5.06_614.3666n",0.154466
"X5.06_668.2876m.z",0.179259
"X5.06_578.3292n",0.140357
"X5.04_572.2778m.z",0.098641
"X5.01_472.2421n",0.178279
"X5.01_517.1183m.z",0.171298
"X5.01_673.1017n",0.335314
"X5.01_705.2129m.z",0.370217
"X5.04_197.0843m.z",0.096605
"X5.04_284.1814m.z",0.149038
"X5.04_281.2166n",0.13146
"X5.04_359.1936m.z",0.380916
"X5.04_390.2043n",0.19115
"X5.04_480.2744m.z",0.113199
"X5.04_519.2454m.z",0.160391
"X5.04_520.2518m.z",0.201637
"X5.15_867.4183m.z",0.411341
"X5.27_265.6348m.z",0.150928
"X5.27_384.2746m.z",0.135269
"X5.27_385.1239n",0.101434
"X5.27_397.2954m.z",0.51457
"X5.27_443.1284m.z",0.585005
"X5.27_416.3235n",0.109343
"X5.27_474.2640m.z",0.105678
"X5.27_502.0964m.z",0.289645
"X5.27_646.4166m.z",0.344148
"X5.27_649.3538m.z",0.320548
"X5.25_915.4983m.z",0.448548
"X5.25_61.0075m.z",0.058064
"X5.25_173.1285m.z",0.207243
"X5.25_288.1616m.z",0.359019
"X5.25_313.2100m.z",0.079729
"X5.25_414.3007m.z",0.27128
"X5.25_433.3123m.z",0.236001
"X5.25_486.1754m.z",0.785443
"X5.25_488.2942m.z",0.12974
"X5.25_676.2028m.z",0.475219
"X5.28_202.1277m.z",0.255565
"X5.28_214.0329m.z",0.278738
"X5.28_233.1502m.z",0.154364
"X5.28_224.0440n",0.630159
"X5.28_261.0259m.z",0.285838
"X5.28_273.6234m.z",0.114106
"X5.28_163.1122m.z",0.098975
"X5.28_309.0273m.z",0.791724
"X5.28_444.2229m.z",0.30271
"X5.28_477.2504m.z",0.126386
"X5.28_484.0597n",0.471847
"X5.28_561.3249m.z",0.6893
"X5.27_855.5711n",0.677588
"X5.27_954.4625n",0.158866
"X5.27_971.4693m.z",0.438423
"X5.27_977.4765m.z",0.439097
"X5.18_547.3006m.z",0.198326
"X5.18_568.3435m.z",0.209359
"X5.20_169.0500m.z",0.955185
"X5.20_203.1779m.z",0.144224
"X5.20_261.1135m.z",0.113427
"X5.20_657.1666m.z",0.488726
"X5.21_198.1627n",0.085874
"X5.21_218.1654n",0.115903
"X5.18_235.5903m.z",0.331926
"X5.15_888.3577n",0.43751
"X5.16_173.0672m.z",0.09498
"X5.16_206.1663n",0.103627
"X5.16_340.2495m.z",0.148587
"X5.16_369.2412m.z",0.501771
"X5.16_399.3259m.z",0.342171
"X5.16_387.2274n",0.160731
"X5.16_430.2928m.z",0.148741
"X5.16_436.2449m.z",0.074537
"X5.16_460.0724n",0.193676
"X5.16_466.2945m.z",0.152555
"X5.16_529.1453m.z",0.37801
"X5.16_575.1247n",0.259308
"X5.16_626.3582m.z",0.201766
"X5.16_622.1673n",0.111474
"X5.16_667.1434m.z",0.35481
"X5.16_673.2614m.z",0.500228
"X5.16_412.2856m.z",0.172763
"X5.21_316.1506m.z",0.152834
"X5.23_413.2096n",0.122523
"X5.23_586.2515n",0.101747
"X5.23_593.2326m.z",0.348967
"X5.23_601.2515m.z",0.331464
"X5.23_588.2861n",0.154585
"X5.23_757.4896m.z",0.557531
"X5.23_933.5120m.z",0.483296
"X5.23_986.4355m.z",0.313919
"X5.23_987.4405m.z",0.299099
"X5.23_988.4444m.z",0.344044
"X5.23_989.4471m.z",0.486958
"X5.23_385.1893m.z",0.049948
"X5.23_291.2187m.z",0.073717
"X5.21_359.3264m.z",0.114224
"X5.21_348.2672n",0.363134
"X5.21_395.1548m.z",0.093426
"X5.21_410.1536m.z",0.319197
"X5.21_426.1613n",0.104896
"X5.21_635.3550m.z",0.470612
"X5.23_339.1789m.z",0.20703
"X5.21_928.4568m.z",0.39164
"X5.21_932.4043n",0.475025
"X5.23_215.1790m.z",0.139642
"X5.23_272.2148n",0.13169
"X5.51_318.2202n",0.327528
"X6.90_880.6222m.z",0.356675
"X6.91_405.2992m.z",0.081139
"X6.91_427.3136m.z",0.066496
"X6.91_792.5701m.z",0.085996
"X6.91_836.5961m.z",0.175192
"X6.93_279.2315m.z",0.140235
"X6.93_517.3732m.z",0.098888
"X6.93_519.1435m.z",0.156076
"X6.93_539.3558m.z",0.399276
"X6.93_748.5427m.z",0.060145
"X6.95_219.1170m.z",0.847375
"X6.95_704.5167m.z",0.060778
"X6.97_258.2448m.z",0.028516
"X6.97_616.4642m.z",0.047196
"X6.97_660.4904m.z",0.050925
"X6.98_403.1424m.z",0.436387
"X6.98_572.4402m.z",0.057613
"X6.90_449.3260m.z",0.072859
"X6.90_369.3836m.z",0.247025
"X6.81_334.2639n",0.643175
"X6.81_458.3209m.z",0.186052
"X6.81_854.5856m.z",0.204151
"X6.83_358.3683m.z",0.150769
"X6.83_416.3727m.z",0.253285
"X6.83_766.5360m.z",0.111806
"X6.85_301.0758m.z",0.183541
"X6.85_385.3789m.z",0.18631
"X6.85_435.2145m.z",0.235434
"X7.00_236.1641m.z",0.114284
"X6.85_810.5587m.z",0.134483
"X6.86_515.3668m.z",0.132987
"X6.86_537.3801m.z",0.171285
"X6.86_613.2307m.z",0.309342
"X6.88_326.0721n",0.078036
"X6.88_471.3400m.z",0.096559
"X6.88_493.3534m.z",0.099038
"X6.90_326.3791m.z",0.063467
"X6.85_559.3945m.z",0.301459
"X6.79_480.3344m.z",0.236424
"X7.00_473.3224m.z",0.522805
"X7.00_528.4118m.z",0.046414
"X7.10_602.4034n",0.205545
"X7.10_634.4198m.z",0.251243
"X7.10_678.4473m.z",0.256154
"X7.11_400.3773m.z",0.08589
"X7.11_528.3324n",0.260041
"X7.11_558.3772n",0.201029
"X7.11_590.3926m.z",0.242389
"X7.13_440.2808n",0.219515
"X7.13_470.3250n",0.172417
"X7.13_484.3068n",0.231279
"X7.13_514.3513n",0.189783
"X7.15_382.2739n",0.160881
"X7.15_426.3003n",0.161023
"X7.15_528.1269m.z",0.424777
"X7.17_342.2298n",0.03912
"X7.17_556.4574m.z",0.196669
"X7.18_225.1185m.z",0.086668
"X7.18_399.2515m.z",0.114788
"X7.10_576.1271n",0.159864
"X7.10_435.1423m.z",0.201903
"X7.10_428.3707m.z",0.101985
"X7.10_360.3632m.z",0.0574
"X7.02_269.2097m.z",0.046906
"X7.02_311.2944m.z",0.257265
"X7.02_290.2365n",0.03936
"X7.02_334.2646n",0.038847
"X7.02_378.2996n",0.065478
"X7.02_429.3004m.z",0.45084
"X7.02_430.3894m.z",0.090585
"X7.02_440.3590m.z",0.053371
"X7.02_451.3097m.z",0.363893
"X7.02_840.5697m.z",0.351522
"X7.00_484.3848m.z",0.052904
"X7.05_283.0421n",0.296218
"X7.05_796.5436m.z",0.306864
"X7.06_272.2551m.z",0.165452
"X7.06_690.4569n",0.240844
"X7.06_734.4841n",0.252477
"X7.06_766.5032m.z",0.4455
"X7.08_503.1435m.z",0.456489
"X7.08_646.4307n",0.345577
"X7.08_722.4777m.z",0.213864
"X7.10_165.9838m.z",0.094965
"X6.79_290.2388n",0.111086
"X6.28_219.1072m.z",0.406139
"X6.30_453.2492m.z",0.064283
"X6.32_234.1620m.z",0.364078
"X6.34_244.2278m.z",0.246875
"X6.34_337.2319m.z",0.03776
"X6.35_191.1792m.z",0.125975
"X6.35_228.1171n",0.466688
"X6.35_270.3163m.z",0.0314
"X6.35_364.1152n",0.592669
"X6.23_287.2465n",0.06793
"X6.23_304.3007m.z",0.048597
"X6.23_415.2127m.z",0.109851
"X6.23_433.2462m.z",0.083997
"X6.23_414.2062n",0.085694
"X6.23_460.2698m.z",0.167471
"X6.23_431.2214n",0.044173
"X6.27_319.0734m.z",0.397814
"X6.27_319.2530m.z",0.219307
"X6.27_235.0338m.z",0.920952
"X6.37_227.2007m.z",0.069939
"X6.37_280.2635m.z",0.37153
"X6.57_354.2857m.z",0.042974
"X6.59_402.3584m.z",0.124809
"X6.61_225.1387m.z",0.181822
"X6.62_200.2014m.z",0.031569
"X6.62_223.0658m.z",0.177457
"X6.62_258.0436n",0.442667
"X6.62_314.0867n",0.304848
"X6.69_349.3352n",0.036145
"X6.69_503.1512m.z",0.165505
"X6.71_286.3120m.z",0.08009
"X6.73_430.8925m.z",0.066153
"X6.73_432.8853m.z",0.080943
"X6.74_271.1734m.z",0.203291
"X6.74_284.3318m.z",0.034541
"X6.76_413.1636m.z",0.078959
"X6.76_428.3737m.z",0.184768
"X6.40_330.3366m.z",0.238285
"X6.40_360.1799n",0.033234
"X6.44_303.0661m.z",0.204663
"X6.47_674.5056m.z",0.363369
"X6.51_337.1029m.z",0.075781
"X6.51_435.1815m.z",0.44755
"X6.53_298.3477m.z",0.045638
"X6.55_286.1395m.z",0.238456
"X6.55_400.1673m.z",0.327439
"X7.22_312.3632m.z",0.046668
"X7.23_177.1640m.z",0.098468
"X7.92_746.5636m.z",0.135836
"X7.93_702.5348m.z",0.116662
"X7.97_658.5189m.z",0.054912
"X7.98_565.5190m.z",0.382128
"X8.00_572.4630n",0.092736
"X8.02_251.0475m.z",0.079067
"X8.02_570.4627m.z",0.063838
"X8.02_598.5034m.z",0.192964
"X8.02_662.4544n",0.071682
"X8.05_494.8133m.z",0.375165
"X8.05_526.4339m.z",0.07688
"X8.06_482.4074m.z",0.086138
"X8.08_420.3561n",0.072437
"X8.08_464.4217m.z",0.398008
"X8.08_623.5257n",0.060265
"X8.10_293.1170m.z",0.061913
"X8.10_311.2573m.z",0.039333
"X8.10_394.3487m.z",0.15419
"X7.92_450.4059m.z",0.469961
"X7.90_227.1981m.z",0.074718
"X7.88_790.5842m.z",0.266807
"X7.74_228.2327m.z",0.027453
"X7.74_357.1492m.z",0.069985
"X7.74_449.1583m.z",0.304296
"X7.74_512.4174m.z",0.102062
"X7.76_340.2823m.z",0.107729
"X7.76_468.3934m.z",0.075985
"X7.78_280.2623m.z",0.221625
"X7.78_318.2920n",0.071933
"X7.78_380.3363m.z",0.117765
"X7.78_406.3236n",0.15503
"X8.12_256.2641m.z",0.033253
"X7.78_543.4696m.z",0.121175
"X7.80_311.2322m.z",0.044907
"X7.81_336.1121n",0.057424
"X7.81_402.2290n",0.090094
"X7.83_407.1649m.z",0.282954
"X7.83_711.5331n",0.158734
"X7.85_304.2503m.z",0.105473
"X7.86_414.4276m.z",0.100371
"X7.86_436.3925m.z",0.431689
"X7.86_706.4965m.z",0.222909
"X7.80_275.2653m.z",0.227429
"X8.12_535.4982n",0.26054
"X8.13_85.0774m.z",0.212835
"X8.13_489.1294m.z",0.062699
"X8.44_531.4492m.z",0.285574
"X8.44_672.5274m.z",0.150916
"X8.46_492.4482m.z",0.583685
"X8.46_638.5623m.z",0.251515
"X8.48_116.1433m.z",0.050609
"X8.48_494.4643m.z",0.480766
"X8.49_73.5319m.z",0.062342
"X8.49_81.5207m.z",0.057655
"X8.44_488.4023n",0.300915
"X8.49_102.0341m.z",0.051757
"X8.49_452.4195m.z",0.302612
"X8.49_466.4349m.z",0.377725
"X8.49_469.3351m.z",0.302953
"X8.49_479.4445n",0.525515
"X8.49_496.4454m.z",0.24381
"X8.49_477.4296n",0.367952
"X8.49_540.4517m.z",0.18771
"X8.49_584.4859m.z",0.127191
"X8.49_610.5526n",0.133805
"X8.49_712.6467m.z",0.429311
"X8.49_716.5528m.z",0.255028
"X8.49_447.3456m.z",0.204958
"X7.73_556.4501m.z",0.100126
"X8.44_417.3368m.z",0.294088
"X8.42_575.5040m.z",0.195531
"X8.17_297.0823m.z",0.429531
"X8.17_371.1035m.z",0.310535
"X8.17_383.3143m.z",0.357121
"X8.17_462.1248n",0.297936
"X8.18_368.4257m.z",0.036284
"X8.22_421.3246m.z",0.174089
"X8.24_355.2826m.z",0.062913
"X8.44_313.2712m.z",0.129236
"X8.24_533.0793m.z",0.141434
"X8.29_533.4666m.z",0.316378
"X8.29_684.6153m.z",0.194522
"X8.30_362.9274m.z",0.081884
"X8.36_282.2799m.z",0.045865
"X8.37_842.6283m.z",0.169402
"X8.39_477.3668m.z",0.163918
"X8.39_505.4370m.z",0.454545
"X8.41_633.5090m.z",0.165856
"X8.42_455.3387m.z",0.135483
"X8.29_102.1277m.z",0.048934
"X6.23_212.2376m.z",0.27843
"X7.73_475.1566m.z",0.192883
"X7.37_278.1527n",0.042063
"X7.37_458.3240m.z",0.055051
"X7.37_465.3116m.z",0.196007
"X7.37_471.8300m.z",0.293919
"X7.37_579.2936m.z",0.077671
"X7.37_875.6400n",0.093453
"X7.37_912.5910m.z",0.521194
"X7.39_223.0672m.z",0.156338
"X7.39_255.2291m.z",0.073132
"X7.39_297.0830m.z",0.331534
"X7.39_388.1068n",0.33084
"X7.39_411.0951m.z",0.263258
"X7.39_436.3096m.z",0.083185
"X7.39_854.5843m.z",0.075766
"X7.41_410.3643m.z",0.254308
"X7.41_810.5589m.z",0.055562
"X7.41_868.5681m.z",0.110691
"X7.42_481.9654m.z",0.096427
"X7.37_205.0873m.z",0.062858
"X7.37_149.0238m.z",0.064596
"X7.35_942.6368m.z",0.203463
"X7.25_444.4020m.z",0.351865
"X7.25_600.4919m.z",0.165237
"X7.27_312.1374n",0.03362
"X7.27_595.1746m.z",0.106885
"X7.29_590.9016m.z",0.244839
"X7.30_568.3883m.z",0.161424
"X7.32_341.1560m.z",0.18096
"X7.32_524.3615m.z",0.104657
"X7.42_748.5047n",0.058277
"X7.32_570.4620m.z",0.106312
"X7.34_502.3506m.z",0.069501
"X7.34_614.4741m.z",0.265607
"X7.35_228.2327m.z",0.028898
"X7.35_480.3362m.z",0.078754
"X7.35_487.3258m.z",0.200548
"X7.32_546.3779m.z",0.112016
"X7.42_824.5424m.z",0.081315
"X7.44_401.2271m.z",0.06701
"X7.59_672.5084m.z",0.267092
"X7.61_313.2218m.z",0.041445
"X7.61_354.9326m.z",0.082534
"X7.61_369.1275m.z",0.072614
"X7.61_598.5060m.z",0.215113
"X7.61_768.6348m.z",0.096372
"X7.62_516.3578m.z",0.081722
"X7.62_609.3412m.z",0.205228
"X7.62_698.5219m.z",0.113712
"X7.62_776.6034m.z",0.411666
"X7.64_546.4852m.z",0.089394
"X7.59_560.3829m.z",0.061806
"X7.64_732.5471m.z",0.229234
"X7.66_371.1715m.z",0.061575
"X7.66_400.4034m.z",0.136766
"X7.66_435.1191m.z",0.076583
"X7.66_437.1177m.z",0.10017
"X7.66_472.3310m.z",0.109504
"X7.66_688.5208m.z",0.115991
"X7.68_644.4991m.z",0.131168
"X7.69_428.3082m.z",0.100709
"X7.69_600.5073m.z",0.066575
"X7.71_256.2300m.z",0.147738
"X7.66_340.3943m.z",0.097812
"X7.73_91.0298n",0.03379
"X7.59_495.4682m.z",0.248705
"X7.57_358.2387m.z",0.123951
"X7.44_704.4723n",0.051106
"X7.46_678.4804m.z",0.061796
"X7.46_705.5065m.z",0.139292
"X7.46_780.5143m.z",0.081496
"X7.47_327.2509m.z",0.123593
"X7.47_386.3963m.z",0.088669
"X7.47_388.3948m.z",0.120884
"X7.47_402.2317n",0.122054
"X7.47_617.4556m.z",0.204819
"X7.47_634.4544m.z",0.055668
"X7.57_604.3994m.z",0.091868
"X7.47_736.4898m.z",0.083175
"X7.51_692.4660m.z",0.076718
"X7.53_502.3715m.z",0.058112
"X7.53_507.3363m.z",0.233613
"X7.53_546.4012m.z",0.043009
"X7.53_648.4356m.z",0.056961
"X7.56_331.2238m.z",0.070553
"X7.56_370.3003m.z",0.132875
"X7.56_419.3039m.z",0.040045
"X7.56_440.3085n",0.076059
"X7.56_485.3578m.z",0.13777
"X7.49_551.4559n",0.049139
"X6.23_198.1861m.z",0.177392
"X6.22_435.1085n",0.58686
"X5.60_271.1893m.z",0.038819
"X5.60_436.3003m.z",0.34957
"X5.62_300.2440n",0.220436
"X5.62_326.0704m.z",0.585715
"X5.62_357.2783m.z",0.172967
"X5.62_460.2540m.z",0.117906
"X5.62_512.3180m.z",0.214881
"X5.55_446.2770m.z",0.08961
"X5.55_491.2666m.z",0.236465
"X5.62_586.3587m.z",0.350831
"X5.57_200.2379m.z",0.042225
"X5.57_184.0911n",0.208315
"X5.57_288.2541m.z",0.0426
"X5.57_308.1758m.z",0.205005
"X5.57_367.0756m.z",0.851911
"X5.64_203.1792m.z",0.157858
"X5.64_292.1344n",0.194002
"X5.69_217.1553m.z",0.303459
"X5.69_230.2486m.z",0.037793
"X5.69_272.2934m.z",0.154567
"X5.69_426.3208m.z",0.612367
"X5.69_569.3276m.z",0.252887
"X5.71_387.3585m.z",0.133076
"X5.71_510.3135m.z",0.158852
"X5.72_353.1407m.z",0.103399
"X5.72_416.3160m.z",0.203018
"X5.72_424.2173m.z",0.040775
"X5.69_181.0739m.z",0.684018
"X5.64_414.2515m.z",0.096254
"X5.64_449.2529m.z",0.0892
"X5.66_137.1305m.z",0.066289
"X5.66_191.1102m.z",0.199361
"X5.66_214.2537m.z",0.027175
"X5.66_368.2781m.z",0.190393
"X5.67_344.2783m.z",0.12056
"X5.67_591.3149m.z",0.311532
"X5.67_628.2148m.z",0.392341
"X5.74_739.1890n",0.28916
"X5.51_386.2875m.z",0.192819
"X5.51_494.2514n",0.24032
"X5.51_586.2343m.z",0.519545
"X5.51_607.2085n",0.471342
"X5.51_598.1533n",0.50415
"X5.51_633.2583m.z",0.310805
"X5.51_612.2079m.z",0.323798
"X5.52_524.2587m.z",0.193292
"X5.55_231.1048m.z",0.481152
"X5.55_239.0630m.z",0.14175
"X5.55_240.0621m.z",0.433356
"X5.55_258.0431n",0.212634
"X5.55_274.1379m.z",0.123163
"X5.55_346.2029m.z",0.137872
"X5.52_497.2572m.z",0.170439
"X5.52_203.1408m.z",0.255132
"X5.52_266.5325m.z",0.951305
"X5.52_316.2792m.z",0.151302
"X5.52_331.1923m.z",0.138935
"X5.52_339.1788m.z",0.058727
"X5.52_336.0915n",0.175291
"X5.52_412.2617m.z",0.47047
"X5.98_282.2442m.z",0.408195
"X6.00_229.2037n",0.380739
"X6.00_493.1557m.z",0.812117
"X6.02_326.0017n",0.049168
"X6.02_327.9989n",0.050313
"X6.02_395.1449m.z",0.332607
"X6.04_102.0340m.z",0.028642
"X6.04_491.2003m.z",0.558585
"X6.08_84.9600m.z",0.036224
"X5.98_214.1200n",0.267018
