Sample,Naive_007,Naive_027,Naive_071,Naive_109,Naive_127,Naive_139,Semi_025,Semi_045,Semi_061,Semi_091,Semi_143,Semi_157
Label,Naive,Naive,Naive,Naive,Naive,Naive,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue
88.5093__90.56,10665122.95898,10036657.78865,17542485.32793,0,7128972.6611,10329434.35436,9708306.02631,10942692.94755,10117148.27128,9075907.22513,22099868.84004,18668888.13905
88.5094__24.81,671314.2294,845725.38143,426586.15385,882046.35578,627668.46376,964648.55011,738398.32934,438146.60468,738460.59087,399197.10544,1057127.6289,976707.34171
88.5094__156.2,17907488.68767,20172382.69027,18684908.92241,17846386.86204,25442886.04524,32965964.77499,19633936.97349,19293237.62424,16325502.73976,11463437.53667,35116563.02379,8457761.71987
88.7195__91.85,0,0,0,0,0,0,0,11670.59329,0,0,0,329941.16813
89.0086__24.78,451165.87419,542725.68426,286209.7564,541551.73451,440257.31715,609677.7561,934873.09413,714865.44044,1165119.77238,681104.42159,1016876.03408,1037434.76692
89.0086__91.11,5345236.93278,5134889.83799,10335711.44449,5166459.506,4852040.99515,9994330.21203,7910655.6438,6101789.83453,7039937.29882,9424538.57538,19174514.58584,15983454.92911
89.0428__168.5,30763.28692,11964008.68276,0,0,0,0,362895.04306,419781.89489,519594.64881,283039.62928,189004.69672,477223.35021
89.0551__128.01,2245879.11823,2145231.9106,3233700.86187,4240911.76902,4685908.51526,3184369.06262,6430235.18961,6650694.88829,8670294.92412,5527517.38063,4736892.21828,10241398.84047
89.0599__36.91,0,0,0,0,0,0,470113.80194,96322.66517,421246.00877,462972.45379,544382.74413,889611.25155
89.507__90.24,311325886.07667,308709019.92321,303707074.66831,0,318082982.02499,293375199.99913,210289081.47036,324254255.43984,187109496.58064,329853460.09963,564363220.73097,446340885.83209
89.507__202.14,881485846.13879,330750200.58102,1040459093.38713,257163924.15188,390495075.50845,803201613.09248,421112792.71789,374264542.69631,1046527090.04427,590140930.73614,488064962.27485,345426507.94319
89.507__158.38,452812407.86977,441664573.22575,551888959.10074,533283980.03905,475084405.33632,539067257.41415,421989624.05966,481468850.09984,418895504.325,372712027.58082,563465612.37285,450041250.24757
89.507__139.75,322120029.03329,291216997.645,309331997.12355,521980391.10425,529918916.72956,310505012.35801,244576569.16927,183065473.88266,369170394.37251,175354013.02477,283187747.12335,521493134.78863
90.0086__90.86,16142968.52409,15283567.74855,11910350.6731,0,8236597.37567,11175994.7375,4053109.13996,15827786.56329,16613603.75546,583307.27152,5831551.1418,16846098.487
90.0087__178.93,40121915.92524,8364151.57153,18544115.86414,0,38429763.08416,7455161.25956,28032904.59201,28381683.24249,26378833.26133,27018085.69371,35356523.62701,26817414.86678
90.0087__202.22,10592351.15512,26539816.07212,19233636.32996,28835359.58398,17084018.06946,72902850.69307,41027240.5694,42673020.43156,41147234.78627,43328881.4503,35032670.58985,63196465.21125
90.0087__34.55,461655.20517,335171.96524,329800.7864,16537.15949,470638.17506,281188.74994,393929.85413,290864.01566,388847.79818,291349.16285,594982.76604,569144.70744
90.0088__24.83,710548.87775,804304.03131,457375.21914,916589.25575,597864.86405,955198.28718,691961.61544,477887.54536,260635.08392,115188.81965,1045767.47391,959132.95742
90.0552__92.84,104160.2648,28945.3208,36424.09929,0,35190.8877,64214.13626,3687495.51446,97681.82458,2535014.87661,1370391.58406,19852373.07654,16312468.59401
90.0553__118.01,2684006.15427,50564018.97658,55756320.42569,53306087.97795,2701671.55672,3481378.69352,90051316.23325,102656784.57999,180949075.74518,147813290.43171,164093982.95729,161321643.96499
90.0915__157.77,13676249.98272,29757985.1041,33570002.43939,8941417.16784,27884048.33602,29969047.90844,16870194.75981,7448266.94867,14946814.97821,6787413.7167,36685627.85905,15235709.7012
90.0915__140.13,20127215.67853,15958540.27689,19946420.94676,7448625.84628,11369641.89216,7176183.81218,10102455.52802,8411640.60588,8475208.4271,10005609.39795,16535336.20618,7509638.31883
90.0916__130.21,4198758.6763,5983723.54771,14238615.0414,3562717.7437,2545654.52229,2903633.97314,7694413.18429,10764460.31583,7385955.02492,5381062.63378,8499771.57374,5537584.27974
90.0916__56.68,695236.30623,654760.48565,698645.49303,597416.63113,449750.92989,595388.31659,2910505.77449,2576386.61843,3728136.22034,2969469.75085,2533371.20621,1822389.26933
90.3146__111.19,0,0,0,0,0,0,93596.11783,105219.76618,118547.2796,107526.9622,256072.38788,82317.79631
90.5072__24.56,547263.85151,648912.2071,210990.76162,746208.1569,470163.35929,792767.15612,783615.59026,507788.16813,932508.15889,546832.85438,1040065.37218,938804.48471
90.5072__34.83,227581.57627,164831.48417,112867.90443,0,28691.50077,136286.07544,564185.03309,350514.84446,550821.86205,539361.28999,713518.26905,764762.29067
90.5072__79.06,2730046.01614,2730298.1791,2193050.48578,0,1286833.04881,2425413.32825,2798878.0375,2633006.31151,2943371.5674,2572050.0528,4313664.20358,3489821.5675
90.5072__91.12,3193547.37917,3253927.50892,2983638.90552,0,2778462.06379,3136720.5047,4164647.13965,3690276.11519,3589300.90368,3573505.20037,6722421.39161,5618624.70529
90.5075__139.82,38274269.57429,28635692.94638,31622166.61167,36746949.26207,34056689.5507,32484437.4229,4069822.10872,1415612.17786,61681.26311,1682662.6566,36979407.13743,29132982.39523
90.5261__103.73,5165014.63625,4943872.06656,5288311.21092,4970785.42462,4740410.1324,4388272.65172,7131140.09038,6980074.32642,6459318.51799,6331436.54386,10338126.99718,7621084.47264
90.5261__172.34,162899795.29898,170194102.19889,261934977.44775,250794373.23602,179898388.33111,160489118.83842,124986419.08273,208345999.22031,257215568.81594,118661045.09984,166680504.39922,75696521.09647
90.9769__71.85,76455294.7914,115171762.51019,70257066.8734,77080913.94004,76763002.15736,64105673.72106,152917316.85499,148506118.7956,153926932.25922,98252216.47356,132150244.03655,130192179.80392
90.9769__114.42,583365054.90335,483130462.53938,389716843.00575,485503827.80391,534864132.40366,422528737.02328,230237431.75429,231124879.14022,245178181.59638,193417663.54015,321995863.42142,314130093.10138
90.977__60.1,43208382.35632,46938136.6895,47105945.87903,45914005.55427,41532403.20386,38806369.69189,67050.50938,49035576.09314,126435.05558,94541.19678,98601585.82482,54157302.67108
91.0545__96.53,695603.38023,667563.57076,1163149.50508,41758.84582,850026.40155,745093.97565,3221541.29796,3152579.43097,3507990.99081,3497722.57177,1800547.71376,2943777.42096
91.0545__109.46,1755161.7569,2218589.45305,2479328.71818,3414653.79774,2261299.01362,2254112.49028,2247854.78188,2653871.19297,2622280.03588,2860661.06352,1877160.57316,5876653.00046
91.0545__24.05,90885.63991,128972.25823,104003.10693,0,47201.99456,188857.91003,430271.27049,427238.67929,566243.22788,344754.52407,312761.43465,495869.15688
91.0585__118.7,1663996.90605,1648820.68892,1364468.24402,109111.60921,1635485.97838,1110923.08985,2907992.57696,3227476.63337,6701783.44356,4858449.78855,5633057.07452,4934914.60328
91.505__24.63,167239.68394,225694.45596,81100.67235,213117.11509,149529.55236,273814.5204,238418.52836,121851.662,253784.46549,127697.78803,373075.80533,316016.46925
91.5053__137.51,93430.40232,0,14460975.57339,13562953.59202,11228341.54611,7221489.26273,29098.13414,0,0,0,0,0
91.9803__114.14,6694070.66767,5224222.2828,4193228.81067,4858296.29608,6545922.92507,4697327.16203,2674771.9453,2409080.77864,2536946.43262,1991019.1716,3848958.63242,3140560.45214
92.4706__86.22,0,0,0,0,0,0,0,0,0,0,112034.57559,173489.96222
92.576__173.86,0,186856.04682,11628.25909,0,103613.34067,12647.71996,160927.87169,397631.9159,1316087.98092,447469.66304,553375.37806,883798.47839
92.9812__114.07,2485080.75204,1912368.02338,1402802.58396,1711602.58671,2138246.40171,1864942.02647,750930.33799,725409.19508,897208.85286,556190.58158,1331437.64826,871897.9846
93.045__163.85,845399.66042,340113.25774,305177.05172,0,1129505.23021,183116.82157,1522520.65868,1010025.62309,1952348.89773,1292871.872,480372.43574,2153859.53115
93.0701__23.92,30723.75325,57389.82298,20322.84304,91468.09733,29869.54071,52720.36011,205316.68728,173225.43199,314588.18375,138259.79129,143043.28587,248825.31409
93.491__89.11,0,0,0,0,0,0,287199.1871,184223.40931,156406.63864,120394.14621,310671.13272,394931.60867
93.9277__127.44,0,93071.62858,47040.70454,0,494353.90355,0,278787.0026,370837.33969,497719.82135,369520.28986,751196.79475,393233.50271
94.0453__140.75,47982922.95847,15556285.8075,12696711.5145,0,24381404.87121,17212218.28591,6735466.5652,3338115.18675,7221935.56466,2396650.81928,50248749.73438,64302896.65605
94.0454__160.42,56770523.88969,35404013.81167,28598838.7314,43765183.82671,43440055.59689,31741082.30338,117001584.2966,64144021.48184,31349834.86562,37749955.39742,129716462.49541,101243970.92121
94.0654__85.33,76843.14505,155328.5637,396002.69974,0,142120.32414,128471.44548,3377413.52479,1007617.02299,1743267.95354,2823022.05819,4918821.25923,10868584.63765
94.0654__57.49,317981.20454,423566.539,548618.63713,670619.47522,345541.18421,458276.95848,1605935.26069,1258911.19909,1364610.4291,1373091.23655,1215728.72391,736403.07279
94.2667__148.93,476662.08603,593187.76724,732703.8115,712388.81162,514478.10636,691762.63564,481025.72156,333731.39761,252779.13386,464577.34143,631259.99483,506503.02097
94.5457__153.19,4578493.34911,1362355.69007,723115.1784,0,435740.51437,1114734.74096,11490406.80105,5132043.59537,8232062.92064,2696916.95544,10429567.94315,11786600.06932
94.5458__139.75,6636212.62389,1420410.72042,1367717.49638,29920.37807,4181085.24951,1658367.24771,5340519.82988,2735490.88056,5348537.28446,1420330.13004,4710009.89953,11050064.45348
95.0441__139.88,7088771.93536,1851684.55992,794187.25571,0,447188.23491,1234408.32704,679050.14042,59116.78233,1001091.27032,84568.94207,7222701.61748,10119221.58051
95.0441__152.4,4338559.13994,1609706.9634,863342.45494,0,399272.07556,1119677.84629,13184475.69506,6581558.44903,10117795.08795,2798935.17067,8051310.89196,14537760.324
95.0494__96.07,0,0,6939.66628,0,0,8023.09613,983271.60059,799074.71055,994506.1436,1075755.27703,197560.33606,643433.69087
95.0494__109.9,474857.00627,464800.52861,574369.62744,698140.24787,614538.73345,537461.28236,597402.98658,726683.32368,810529.06475,910831.06954,516297.53013,873838.16531
95.0606__162.88,4477789.2179,2519754.52852,1766810.99689,3241890.20899,2520437.87829,1482685.02259,5173170.34873,6127285.32801,5969694.30119,6126698.35345,14260010.97423,7610776.46344
95.0858__24.23,103087.41703,198103.25963,90196.29189,211231.64573,104461.88291,205232.37931,559251.14918,354976.40787,690044.3729,330165.24506,269958.87153,594219.5581
95.5458__140.3,205892.1871,31718.57615,22245.34845,0,123149.32506,0,0,14605.187,0,0,155231.60447,320856.99243
96.0446__86.79,30118.4045,9443.96113,2166461.63145,544722.67398,288662.1315,694181.8541,1891005.44921,762528.16309,4417730.88014,131832.05518,5754216.20163,4321833.71207
96.0446__26.05,0,0,0,0,0,0,223929.0055,0,44297.94709,59819.93275,78307.89536,324692.47617
96.0447__38,0,0,0,0,0,0,251258.92621,27387.24131,143695.75274,125093.51553,50666.43074,85073.38208
96.922__72.21,38536572.35521,45940184.14335,36221615.10287,39342034.51269,42408436.30855,31365117.16151,100483889.25492,90927602.17392,95590841.24491,96837818.17274,119613644.54232,118970791.96977
97.0399__31.7,2685.11721,2179.46974,0,0,21471.30447,1990.25011,626407.38862,40454.37502,298396.46441,494414.70366,656263.6863,946116.47113
97.0651__24.32,154240.9753,231443.47893,89720.64369,236215.79686,115633.31199,239752.31677,661078.47735,309690.84186,797161.77463,405601.91627,322473.3584,604987.76739
97.0763__167.52,1009771.92923,298034.55959,216361.03492,0,1456621.10851,333451.73219,921367.67374,495315.77071,2710838.50191,936743.70853,386306.8561,2151939.27434
97.0763__57.77,565066.04171,711545.80183,633113.28509,688003.00782,482063.97921,599772.67569,1390651.58608,1224119.13977,1383918.16794,1499632.09822,1367139.01027,1250314.52485
97.5146__202.68,247161130.04403,308028296.93436,188928143.44807,235566513.78389,106882106.5507,243261601.37425,145958063.91531,187344435.1458,414808000.43833,131032258.80701,288031420.90927,272492222.45428
97.5146__159.57,106416896.2688,111026718.9426,228176827.78418,77915158.69673,117687848.73474,119095868.99197,118924450.53699,39820057.9917,118699544.30604,97035741.2424,43078995.87617,93870138.66543
97.5146__90.01,55261343.7929,51458576.28792,93250886.29208,0,15507800.41281,53234495.76578,111932698.56971,95302730.74523,63061015.00527,59021043.89446,334361.36349,83799129.29038
97.5146__24.72,4256436.32203,4321331.3499,2706472.60103,0,2500815.5976,4851261.52227,4649387.69579,2941491.70781,4686440.55931,2577757.06731,3876395.49803,5021623.12551
97.9691__110.57,1954877.84592,2190012.70463,2293648.43234,39128.47242,1975390.79643,2167035.62979,3731685.10784,3297706.81777,3119577.86031,3281422.54118,2158654.72543,3724580.93597
97.9692__204.23,20192699.84445,41598713.26193,6939468.49609,23991446.42033,25600799.54099,43575830.04982,68863720.51469,96010607.15813,23628267.38335,24394020.48639,22846402.62229,9094986.68423
97.9916__139.94,39326829.89112,27495744.91586,40630566.10185,9741925.49005,24115136.16709,12103899.35283,46651.127,26171363.85527,75533.37453,96032.10242,1054822.13267,61885098.79549
97.9916__237.13,2173998.48087,2411118.71929,6623847.21751,0,1488354.47681,2356280.95056,1868364.4632,1842455.72957,13281397.02516,7020847.52077,13489067.12822,2354236.29641
97.9916__159.62,54028028.01119,10434498.54648,40502196.57847,70994218.60373,56034637.19396,10010218.23429,3842566.30432,72362876.11415,65104275.98267,7936203.23301,61322808.20874,9227100.09004
97.9916__227.51,2129621.26827,1920587.18221,6330940.38579,0,1261190.89619,2011523.61553,1621586.66926,1561137.98156,309659.46051,1579733.19911,3497459.9095,12489753.94984
97.9916__256.73,1380153.28624,1425949.55813,1337389.47064,0,698984.86527,1309425.29834,1153929.30269,1114097.99817,1138201.95969,3262663.71546,12527003.24149,1385544.03736
97.9916__270.9,1171270.7121,1122246.30456,1133392.66899,0,1009107.77427,1087775.89259,978552.55403,898468.40936,944652.75755,2160672.32296,2073971.6169,1191619.14917
98.0138__80.16,15235415.68801,15689266.10217,4756424.79513,0,0,13465325.07363,18699240.32939,17209388.80562,12347154.98878,12923526.57258,6071879.62337,16155993.92455
98.0138__103.85,8262401.92771,9056363.64214,8169532.54105,0,5317030.28241,8230643.63235,16292642.20601,14293101.01922,13130483.54448,14229310.98399,14417753.08334,432143.73677
98.0138__91.52,52580503.08455,27634663.46178,6291080.61633,43991297.64642,9191384.21843,24385841.68464,74117493.41843,35036977.27811,40903226.98393,38042332.43636,31118638.48638,34238712.96642
98.0138__24.83,2686327.45047,3321227.17545,143687.58035,3608570.16996,2884671.80669,215376.64805,5740505.67202,4835988.95491,7582396.3758,5158285.69419,3921905.78812,5721667.48181
98.0138__131.86,9499875.52848,30133367.15552,905901.70196,0,61585167.39587,70869697.10679,71016314.95992,29072416.93735,60251576.18191,19982299.31492,23724479.37738,34328847.55814
98.0579__116.82,2745493.47926,6864066.95002,3608558.09638,3654089.8714,4481396.59082,8658805.88967,11631824.35488,4831369.75218,10682956.508,13271119.07194,18345010.65677,5157771.65244
98.0603__24.11,1700384.89927,2131479.15202,889983.34103,2954840.32388,1780032.26456,3391357.44604,2631551.64702,2592670.45756,5308162.69225,2383252.70284,3164408.2963,3603605.23994
98.5034__25.04,129361.37001,219548.42485,0,319336.32654,0,0,186483.42283,125517.69475,0,93387.38344,121999.29664,204376.36153
98.5122__201.93,4007877802.50211,4959054993.27148,2934373189.77015,0,2269794221.71629,2866391532.6961,2239859869.29331,1629872339.41085,5818444565.99653,2870520131.19252,1722205928.55434,1961087832.00291
98.5123__131.56,555828.68011,907160770.23172,1032848770.52286,0,386293731.50376,1004005388.4028,917111793.28459,799077180.00851,1828752219.57321,850767231.3081,1792209243.07516,917839817.43029
98.5123__90.51,1095597924.99862,1043995529.30421,1436040392.08431,0,1072120709.27297,1265394796.40361,1838022223.00659,1520821554.37167,1024444710.59466,1506695888.63195,1226441560.57183,1759012446.12742
98.5123__158.8,1898040065.96349,1302007052.58192,2145295049.8281,0,1846055411.69916,1961473115.78455,2501225714.5556,2208864516.64704,1982532901.33574,1588013079.94095,2458305387.71354,1442611456.96872
98.658__86.28,0,0,0,0,0,0,336872.36378,123666.12673,421251.70786,316192.07527,916831.27537,513716.31828
98.9191__72.3,12943375.52607,14635719.48572,12160287.75126,12573984.22091,13534941.92797,9966155.62545,34784705.53884,30836002.63286,31925045.3187,32218972.14653,41727314.78027,38970892.50717
99.0138__24.78,1640010.60864,1488031.35373,1043196.57864,1792018.94621,1360780.72487,1783847.56894,4300984.90781,2946613.2563,4694467.65076,2572814.49905,3587418.66188,4667872.86788
99.0139__36.27,1009599.71841,989971.96221,240830.44174,921236.2208,0,1938322.52783,2755024.78897,2639432.40451,2702018.70905,2639293.93554,2503320.80329,2419903.13665
99.0139__158.8,121186634.14437,114679697.92999,185784926.02794,8255507.46592,133313240.60634,11999064.68551,88559024.06637,135386477.4004,122034617.73326,102849735.12153,97331645.08255,107166694.2043
